ID do cliente;CPF do cliente;Nome do cliente;Telefone com DDD;Logradouro;UF;Município;ID do produto;Nome do produto;Preço unitário;Quantidade comprada;Valor total pago;Taxa de entrega;Nome do entregador;Data da compra;Data da entrega
1;104.965.823-05;Mariana Andrade;+55 (041) 1338 9083;Vila de Nogueira, 83;CE;Rio de Janeiro;10;Webcam;300;7;2125.28;25.28;Lara Abreu;2025-10-13;2025-10-16
2;654.192.038-98;Luiz Henrique Ferreira;0500-407-8161;Vereda Eloá Oliveira, 11;SP;São Paulo;2;Smartphone;1800;3;5417.63;17.63;Heloísa Vargas;2025-09-16;2025-09-19
3;316.297.854-82;João Felipe Sampaio;+55 11 9283 2764;Sítio de Câmara, 40;RJ;Petrópolis;4;Mouse;80;9;752.04;32.04;Levi Guerra;2025-09-14;2025-09-24
4;953.876.401-39;Josué Souza;84 8496-9653;Residencial de Borges, 2;SP;Santos;6;Monitor;900;8;936.25;36.25;Emanuel Vieira;2025-10-09;2025-10-23
5;697.428.053-00;Zoe Sá;+55 81 5146-2704;Rodovia Caldeira, 48;RJ;Petrópolis;4;Mouse;80;8;688.5;48.5;Marcelo Teixeira;2025-09-08;2025-10-31
6;805.397.214-41;Isaque Nunes;+55 21 1718 2278;Rua Lavínia Cunha, 734;SP;Santos;5;Teclado;150;8;1205.52;5.52;Maria Fernanda Macedo;2025-10-22;2025-10-27
7;391.204.765-07;Brayan Santos;+55 (081) 3105 1834;Favela Valentina Cardoso, 497;RJ;Fortaleza;3;Fone de Ouvido;250;10;2529.5;29.5;Maria Luísa Correia;2025-09-04;2025-10-13
8;568.390.471-48;Sra. Bianca da Cruz;+55 (071) 3872-6247;Praia Novaes, 1;SP;Santos;5;Teclado;150;8;1219.01;19.01;Ágatha Albuquerque;2025-10-26;2025-11-02
9;326.971.508-03;Agatha Gomes;+55 71 7468-7234;Trecho Sousa, 105;MG;Belo Horizonte;8;HD Externo;400;10;4013.09;13.09;Rhavi Montenegro;2025-10-23;2025-10-28
10;081.679.423-50;Bárbara Nunes;+55 51 9909 1699;Jardim Nicolas Rios, 53;SP;São Paulo;9;Pen Drive;60;1;96.84;36.84;Caroline Rios;2025-10-07;2025-10-19
